Ekin,Eterm,Epot,Eint,E,T,P,r1,r2,r12_abs,U12,F12,F1,Step
2572.49225696,1312.12725696,1186.64687731,2498.77413427,3759.13913427,316.79007615,68.0481755,,,0.28451558,1186.64687731,2256.67046325,,52
2562.2605174,1301.8955174,1785.77200598,3087.66752338,4348.03252338,314.31980237,70.41244369,,,0.28044143,1785.77200598,2767.08850395,,53
2549.76598593,1289.40098593,2694.98408527,3984.3850712,5244.7500712,311.30321724,73.27089014,,,0.27638485,2694.98408527,3394.5448525,,54
2534.51677738,1274.15177738,4078.7335647,5352.88534208,6613.25034208,307.62156372,76.72815792,,,0.27234981,4078.7335647,4166.14222715,,55
2515.92168407,1255.55668407,6189.52747302,7445.08415709,8705.44915709,303.1321051,80.90970914,,,0.26834121,6189.52747302,5114.9529826,,56
2493.27629206,1232.91129206,9414.2161099,10647.12740196,11907.49240196,297.664773,85.96469627,,,0.26436508,9414.2161099,6281.02181729,,57
2465.75148468,1205.38648468,14342.83620205,15548.22268673,16808.58768673,291.01939179,92.06832666,,,0.26042882,14342.83620205,7712.30588063,,58
2432.38794199,1172.02294199,21868.7161668,23040.73910879,24301.10410879,282.9643505,99.42296696,,,0.25654151,21868.7161668,9465.35525055,,59
2392.10241927,1131.73741927,33329.23057812,34460.96799738,35721.33299738,273.23811873,108.25677971,,,0.25271428,33329.23057812,11605.40104519,,60
2343.7145452,1083.3495452,50693.80973692,51777.15928212,53037.52428212,261.55571656,118.81806494,,,0.24896072,50693.80973692,14205.32553261,,61
2286.00651509,1025.64151509,76794.99692595,77820.63844104,79081.00344104,247.62312645,131.36271168,,,0.24529732,76794.99692595,17342.73802018,,62
2217.8317713,957.4667713,115571.9017722,116529.3685435,117789.7335435,231.16353218,146.13136893,,,0.241744,115571.9017722,21094.10016288,,63
2138.29102091,877.92602091,172243.23165142,173121.15767233,174381.52267233,211.95981529,163.31243501,,,0.23832458,172243.23165142,25524.62260797,,64
2046.99169021,786.62669021,253241.53572678,254028.16241699,255288.52741699,189.91719574,182.98737191,,,0.23506716,253241.53572678,30672.68247284,,65
1944.3952526,684.0302526,365630.48658188,366314.51683448,367574.88183448,165.14708818,205.05721286,,,0.23200444,365630.48658188,36528.11817839,,66
1832.22974899,571.86474899,515646.29479575,516218.15954474,517478.52454474,138.06669774,229.15475874,,,0.22917358,515646.29479575,43005.38889939,,67
1713.89825822,453.53325822,706080.93251061,706534.46576883,707794.83076883,109.49763801,254.55679934,,,0.22661569,706080.93251061,49915.60813401,,68
1594.75303675,334.38803675,932650.39079033,932984.77882708,934245.14382708,80.7321173,280.12386882,,,0.22437463,932650.39079033,56945.69724459,,69
1482.05261466,221.68761466,1180381.19782047,1180602.88543513,1181863.25043513,53.52258019,304.30680018,,,0.22249502,1180381.19782047,63656.93465102,,70
1384.42006384,124.05506384,1422133.28422281,1422257.33928664,1423517.70428664,29.9509159,325.26004612,,,0.22101947,1422133.28422281,69515.92027467,,71
1310.72501853,50.36001853,1621747.39993767,1621797.7599562,1623058.1249562,12.1585418,341.0800852,,,0.21998517,1621747.39993767,73964.64198289,,72
1268.5310219,8.1660219,1742798.05094576,1742806.21696767,1744066.58196767,1.97154254,350.13989857,,,0.21942034,1742798.05094576,76521.54359494,,73
1262.50697756,2.14197756,1760486.3320522,1760488.47402976,1761748.83902976,0.51714285,351.43350774,,,0.21934122,1760486.3320522,76887.16302113,,74
1293.3396299,32.9746299,1671023.37480167,1671056.34943157,1672316.71443157,7.96114513,344.81284271,,,0.21975014,1671023.37480167,75017.32327904,,75
1357.56716197,97.20216197,1493142.35157257,1493239.55373453,1494499.91873453,23.46775446,331.02404695,,,0.22063522,1493142.35157257,71134.38281138,,76
1448.40134706,188.03634706,1260820.97452404,1261009.0108711,1262269.3758711,45.39807278,311.5282596,,,0.22197181,1260820.97452404,65671.77957803,,77
1557.21303762,296.84803762,1011501.3062219,1011798.15425952,1013058.51925952,71.66874397,288.1789021,,,0.22372525,1011501.3062219,59174.7754896,,78
1675.15078517,414.78578517,775860.87753893,776275.6633241,777536.0283241,100.14274132,262.87212096,,,0.22585429,775860.87753893,52194.22838207,,79
1794.42773985,534.06273985,572822.49968057,573356.56242042,574616.92742042,128.9400667,237.27131819,,,0.22831462,572822.49968057,45204.71633693,,80
